gene_symbol,modules,n_modules,sub_mito_location,evidence_weight
HADHB,4|5,2,MIM,1.3608
TRIT1,7,1,Matrix,1.1776
CRLS1,4,1,MIM,1.1267
GLYCTK,5,1,Matrix,0.7526
SLC25A32,5|9,2,MIM,1.0877
AARS2,6,1,Matrix,0.7849
EXOG,7,1,MIM,0.9081
CHCHD2,12,1,IMS,1.0395
KMO,5,1,MOM,1.182
SFXN5,3|9,2,MIM,1.131
ELAC2,7,1,Matrix,0.9494
GPX1,10,1,Matrix,0.979
CPT1B,4,1,MOM,1.2705
FIS1,11,1,MOM,1.1635
PRELID1,4,1,IMS,1.44
UCP3,9,1,MIM,1.0666
SLC25A27,9,1,MIM,1.0666
SLC25A40,9,1,MIM,1.0666
SLC25A23,9|13,2,MIM,1.0666
HEMK1,6,1,Matrix,1.116
SLC25A36,9,1,MIM,1.1405
OMA1,8|11,2,MIM,0.8294
LETM2,2,1,MIM,0.9504
DHRS1,4,1,MIM,1.3325
STOM,9,1,Membrane,1.0079
METTL5,7,1,Matrix,1.1923
MSRA,10,1,Matrix,1.2308
NUDT8,5,1,Matrix,1.2419
NMNAT3,5,1,Matrix,1.2419
SLC25A38,5|9,2,MIM,1.2096
MPV17L2,6,1,MIM,1.0441
ACLY,3,1,Matrix,1.0977
ABCD2,9,1,Membrane,1.0002
FLAD1,5,1,Matrix,0.9223
LIPT1,4,1,Matrix,1.2096
DGLUCY,5,1,Matrix,0.8316
PCK2,3,1,Matrix,0.9794
NADK2,5,1,Matrix,0.9702
MPST,10,1,MIM,1.1642
NUDT13,5,1,Matrix,0.9744
ACACA,4|5,2,Matrix,0.9516
ABAT,5,1,Matrix,0.9253
HMGCS2,4,1,Matrix,0.9253
ALDH5A1,5,1,Matrix,0.9344
CKMT1A,2,1,MIM,0.9163
PISD,4,1,MIM,1.1088
NDUFB4,0,1,MIM,1.44
UQCR11,1,1,MIM,1.44
FAM136A,10,1,IMS,1.44
TOMM5,8,1,MOM,1.44
HTRA2,8|12,2,MIM,0.8916
NDUFA1,0,1,MIM,1.2768
MT-CYB,1|5|10,3,MIM,1.449
GUK1,5,1,Matrix,1.0109
D2HGDH,3,1,Matrix,1.134
OPA3,12,1,MOM,1.0296
AKR1B10,5|10,2,unknown,1.1808
PHYH,5,1,Matrix,0.7999
NDUFAF2,0,1,MIM,1.0368
ECSIT,0,1,MIM,1.1676
PARL,8|12,2,MIM,1.512
MRPL42,6,1,Matrix,1.44
DNAJC4,9,1,Membrane,0.8129
PAM16,8,1,MIM,1.518
ALDH3A2,10,1,Membrane,0.762
ACSL6,4,1,MOM,1.0688
MRS2,2,1,MIM,1.0176
ABHD10,10,1,Matrix,1.1306
HINT3,5,1,unknown,1.2338
PXMP4,5,1,unknown,0.9418
OSGEPL1,7,1,Matrix,1.2832
NUDT2,5,1,Matrix,1.1794
CYB5B,5|10,2,MOM,1.1693
GRSF1,6|7,2,Matrix,1.0349
MRPS18B,6,1,Matrix,0.9072
DNAJC30,2,1,MIM,0.9072
CAT,10,1,IMS,1.0886
DGUOK,5,1,Matrix,0.8649
ACOT9,2,1,MIM,0.8565
